"Date" "Nationality" "Cause of death" "Mountain"
"2014-05-20" "Nepal" "Fall on descent above Camp 4 on Yalung Kang" "Kangchenjunga"
"2013-05-20" "Nepal" "Fall" "Kangchenjunga"
"2013-05-20" "Nepal" "Fall" "Kangchenjunga"
"2013-05-20" "South Korea" "Fall" "Kangchenjunga"
"2013-05-20" "Hungary" "Fall on descent above Camp 4" "Kangchenjunga"
"2013-05-20" "Hungary" "Exhaustion" "Kangchenjunga"
"2007-05-24" "Spain" "Fall" "Kangchenjunga"
"2002-05-24" "Canada" "Fall" "Kangchenjunga"
"2000-04-23" "Nepal" "Hit by ice block" "Kangchenjunga"
"1999-09-14" "South Korea" "Avalanche" "Kangchenjunga"
"1999-09-14" "South Korea" "Avalanche" "Kangchenjunga"
"1998-05-16" "Japan" "Altitude sickness" "Kangchenjunga"
"1998-05-16" "Japan" "Fall" "Kangchenjunga"
"1995-10-06" "France" "Fall" "Kangchenjunga"
"1995-10-06" "Nepal" "Fall" "Kangchenjunga"
"1995-10-05" "France" "Fall" "Kangchenjunga"
"1995-01-01" "Nepal" "Altitude sickness" "Kangchenjunga"
"1994-10-23" "Bulgaria" "Avalanche" "Kangchenjunga"
"1994-10-09" "Belarus" "Avalanche" "Kangchenjunga"
"1994-10-09" "Russia" "Avalanche" "Kangchenjunga"
"1992-05-13" "Poland" "Unknown (disappeared)" "Kangchenjunga"
"1992-04-25" "Nepal" "Suffocation" "Kangchenjunga"
"1992-04-25" "Nepal" "Suffocation" "Kangchenjunga"
"1991-05-16" "India" "Fall" "Kangchenjunga"
"1991-05-03" "Yugoslavia" "Fall" "Kangchenjunga"
"1991-05-03" "Yugoslavia" "Fall" "Kangchenjunga"
"1989-12-20" "Nepal" "Fall on Yalung Kang" "Kangchenjunga"
"1989-12-20" "Nepal" "Fall on Yalung Kang" "Kangchenjunga"
"1989-12-20" "South Korea" "Fall on Yalung Kang" "Kangchenjunga"
"1988-05-17" "India" "Exhaustion" "Kangchenjunga"
"1987-05-31" "India" "Fall" "Kangchenjunga"
"1987-05-25" "India" "Fall" "Kangchenjunga"
"1987-05-25" "India" "Fall" "Kangchenjunga"
"1987-05-25" "India" "Fall" "Kangchenjunga"
"1986-01-11" "Poland" "Altitude sickness" "Kangchenjunga"
"1985-04-22" "Yugoslavia" "Fall on Yalung Kang" "Kangchenjunga"
"1985-01-15" "United States" "Altitude sickness" "Kangchenjunga"
"1981-10-15" "France" "Fall" "Kangchenjunga"
"1980-05-04" "Mexico" "Fall on Yalung Kang" "Kangchenjunga"
"1980-05-04" "Mexico" "Fall on Yalung Kang" "Kangchenjunga"
"1977-04-08" "India" "Fall" "Kangchenjunga"
"1973-05-15" "Japan" "Hit by rock after summitting Yalung Kang" "Kangchenjunga"
"1955-05-26" "India" "Unknown illness" "Kangchenjunga"
"1931-08-09" "Germany" "Avalanche" "Kangchenjunga"
"1931-08-09" "British Raj" "Avalanche" "Kangchenjunga"
"1931-08-01" "British Raj" "Blackwater fever" "Kangchenjunga"
"1931-07-01" "British Raj" "Unknown illness" "Kangchenjunga"
"1930-05-08" "British Raj" "Avalanche" "Kangchenjunga"
"1929-05-27" "United States" "Unknown (disappeared)" "Kangchenjunga"
"1905-09-01" "British Raj" "Fall" "Kangchenjunga"
"1905-09-01" "Switzerland" "Fall" "Kangchenjunga"
"1905-08-28" "British Raj" "Fall" "Kangchenjunga"
"2022-05-08" "Nepal" "Avalanche on south face" "Lhotse"
"2019-05-17" "Bulgaria" "HACE" "Lhotse"
"2018-05-17" "Russia" "Altitude sickness" "Lhotse"
"2016-05-19" "Nepal" "Fall" "Lhotse"
"2015-04-27" "Japan" "2015 Mount Everest avalanche (died in Kathmandu of injuries)" "Lhotse"
"2015-04-25" "China" "2015 Mount Everest avalanche" "Lhotse"
"2014-04-18" "Nepal" "2014 Mount Everest ice avalanche" "Lhotse"
"2013-05-20" "Taiwan" "Altitude sickness" "Lhotse"
"2012-10-16" "Nepal" "Fall" "Lhotse"
"2012-05-19" "Czech Republic" "Exposure  frostbite"
"2010-05-07" "Russia" "Altitude sickness" "Lhotse"
"2009-05-25" "Kazakhstan" "Fall" "Lhotse"
"2007-05-21" "Nepal" "Fall" "Lhotse"
"2006-05-09" "Czech Republic" "Fall" "Lhotse"
"2003-10-05" "South Korea" "Avalanche on Lhotse Shar" "Lhotse"
"2003-10-05" "South Korea" "Avalanche on Lhotse Shar" "Lhotse"
"2000-09-17" "Russia" "Avalanche" "Lhotse"
"1997-05-27" "Russia" "Altitude sickness" "Lhotse"
"1989-10-24" "Poland" "Fall" "Lhotse"
"1987-09-27" "Spain" "Avalanche on Lhotse Shar" "Lhotse"
"1987-09-27" "Spain" "Avalanche on Lhotse Shar" "Lhotse"
"1987-09-27" "Spain" "Avalanche on Lhotse Shar" "Lhotse"
"1987-09-27" "Spain" "Avalanche on Lhotse Shar" "Lhotse"
"1987-09-15" "Poland" "Avalanche" "Lhotse"
"1986-10-30" "Spain" "Fall on Lhotse Shar" "Lhotse"
"1985-10-25" "Poland" "Fall" "Lhotse"
"1981-10-25" "Switzerland" "Fall on Lhotse Shar" "Lhotse"
"1981-10-16" "Switzerland" "Fall on Lhotse Shar" "Lhotse"
"1981-10-16" "Switzerland" "Fall on Lhotse Shar" "Lhotse"
"1980-05-17" "Nepal" "Avalanche" "Lhotse"
"1980-04-28" "France" "Unknown (disappeared on Lhotse Shar)" "Lhotse"
"1977-05-12" "West Germany" "Fall" "Lhotse"
"1974-12-17" "Poland" "Exhaustion" "Lhotse"
"2021-10-24" "Denmark" "Unknown (died near Base Camp; likely a trekker as no climbing permits were issued in autumn 2021)" "Makalu"
"2019-05-24" "Nepal" "Storm  altitude sickness"
"2019-05-16" "India" "Exhaustion" "Makalu"
"2019-05-16" "India" "Exhaustion" "Makalu"
"2019-05-08" "Peru" "Died in sleep  likely altitude sickness"
"2018-05-15" "Nepal" "Unknown illness" "Makalu"
"2016-05-10" "Nepal" "Unknown illness" "Makalu"
"2016-05-10" "Nepal" "Unknown illness" "Makalu"
"2014-05-02" "France" "HACE" "Makalu"
"2013-04-23" "China" "Fall during descent" "Makalu"
"2011-05-22" "Switzerland" "Altitude sickness" "Makalu"
"2010-05-26" "Greece" "Unknown (disappeared)" "Makalu"
"2009-05-01" "India" "Fall" "Makalu"
"2008-05-20" "Nepal" "Altitude sickness" "Makalu"
"2008-04-24" "Nepal" "Falling rock/ice" "Makalu"
"2006-01-27" "France" "Fall into crevasse" "Makalu"
"2005-05-15" "Nepal" "Altitude sickness" "Makalu"
"2004-05-18" "United States" "Fall" "Makalu"
"2004-05-17" "Ukraine" "Unknown (disappeared)" "Makalu"
"2002-04-25" "United States" "Exposure  frostbite"
"2002-01-01" "Nepal" "Unspecified" "Makalu"
"2002-01-01" "Nepal" "Unspecified" "Makalu"
"2002-01-01" "Nepal" "Unspecified" "Makalu"
"2002-01-01" "Nepal" "Unspecified" "Makalu"
"2002-01-01" "Nepal" "Unspecified" "Makalu"
"2002-01-01" "Nepal" "Unspecified" "Makalu"
"2001-05-14" "Austria" "Fall" "Makalu"
"2000-05-16" "Germany" "Altitude sickness" "Makalu"
"1999-10-11" "Nepal" "Fall" "Makalu"
"1999-04-30" "Denmark" "Fall" "Makalu"
"1997-10-12" "Denmark" "Unknown illness" "Makalu"
"1997-05-24" "Russia" "Falling rock/ice" "Makalu"
"1997-05-21" "Russia" "Exhaustion" "Makalu"
"1996-05-14" "Russia" "Fall" "Makalu"
"1995-05-08" "Australia" "Fall" "Makalu"
"1991-10-08" "Japan" "Exposure  frostbite"
"1991-10-02" "Spain" "Fall" "Makalu"
"1988-10-14" "Poland" "Fall" "Makalu"
"1986-09-25" "Switzerland" "Altitude sickness" "Makalu"
"1986-01-01" "Nepal" "Altitude sickness" "Makalu"
"1984-09-13" "Nepal" "Altitude sickness" "Makalu"
"1983-10-15" "Australia" "Fall" "Makalu"
"1983-10-03" "New Zealand" "Avalanche" "Makalu"
"1983-01-01" "Nepal" "Unknown" "Makalu"
"1982-09-26" "Poland" "Unknown illness" "Makalu"
"1978-10-06" "Poland" "Avalanche" "Makalu"
"1976-05-24" "Czechoslovakia" "Exposure  frostbite"
"1973-05-21" "Czechoslovakia" "Fall" "Makalu"
"1954-09-26" "Nepal" "Pneumonia" "Makalu"
"2019-04-29" "Nepal" "Fall into crevasse" "Cho Oyu"
"2018-05-16" "South Korea" "Exhaustion  altitude sickness"
"2011-09-26" "Germany" "Avalanche" "Cho Oyu"
"2011-09-23" "Czech Republic" "Unknown illness" "Cho Oyu"
"2011-05-22" "Netherlands" "Altitude sickness" "Cho Oyu"
"2010-10-03" "Italy" "Fall" "Cho Oyu"
"2010-05-03" "Russia" "HACE" "Cho Oyu"
"2009-09-26" "United States" "Unknown illness" "Cho Oyu"
"2009-06-02" "Netherlands" "Fall" "Cho Oyu"
"2008-10-04" "Slovenia" "Altitude sickness" "Cho Oyu"
"2008-10-03" "Canada" "Fall" "Cho Oyu"
"2006-05-09" "Germany" "Fall" "Cho Oyu"
"2005-05-11" "Slovakia" "Unknown illness" "Cho Oyu"
"2004-10-13" "Spain" "Exhaustion  fall"
"2003-10-06" "Greece" "Exhaustion" "Cho Oyu"
"2003-05-16" "Germany" "Altitude sickness" "Cho Oyu"
"2003-05-14" "Australia" "Heart attack" "Cho Oyu"
"2002-05-14" "United Kingdom" "Fall into crevasse" "Cho Oyu"
"2002-04-30" "Nepal" "Unknown" "Cho Oyu"
"2001-09-09" "South Korea" "Altitude sickness" "Cho Oyu"
"2000-10-11" "Yugoslavia" "HAPE  heart problems"
"2000-09-20" "Nepal" "Avalanche" "Cho Oyu"
"2000-09-20" "Nepal" "Avalanche" "Cho Oyu"
"2000-09-20" "Nepal" "Avalanche" "Cho Oyu"
"2000-05-04" "Russia" "Fall" "Cho Oyu"
"2000-05-04" "Finland" "Fall" "Cho Oyu"
"1999-01-01" "Spain" "Fall" "Cho Oyu"
"1998-09-26" "Switzerland" "Unknown illness" "Cho Oyu"
"1998-05-13" "Germany" "Fall" "Cho Oyu"
"1998-04-30" "Russia" "Unknown illness" "Cho Oyu"
"1996-10-10" "Czech Republic" "Altitude sickness" "Cho Oyu"
"1996-10-06" "Japan" "Altitude sickness" "Cho Oyu"
"1996-04-20" "Germany" "Unknown illness" "Cho Oyu"
"1994-10-08" "Nepal" "Unknown illness" "Cho Oyu"
"1994-01-24" "Switzerland" "Fall" "Cho Oyu"
"1994-01-24" "Switzerland" "Fall" "Cho Oyu"
"1992-05-20" "Switzerland" "Fall" "Cho Oyu"
"1991-10-21" "Soviet Union" "Falling rock/ice" "Cho Oyu"
"1991-05-11" "Germany" "Fall" "Cho Oyu"
"1990-01-01" "Nepal" "Unknown illness" "Cho Oyu"
"1989-12-25" "Nepal" "Fall" "Cho Oyu"
"1988-09-29" "France" "Altitude sickness" "Cho Oyu"
"1988-05-12" "Switzerland" "Altitude sickness" "Cho Oyu"
"1986-10-23" "Switzerland" "Fall" "Cho Oyu"
"1982-05-19" "West Germany" "Avalanche" "Cho Oyu"
"1964-05-07" "West Germany" "Altitude sickness" "Cho Oyu"
"1964-05-04" "West Germany" "Altitude sickness" "Cho Oyu"
"1959-10-02" "Nepal" "Avalanche" "Cho Oyu"
"1959-10-02" "Nepal" "Avalanche" "Cho Oyu"
"1959-10-02" "Belgium" "Avalanche" "Cho Oyu"
"1959-10-02" "France" "Avalanche" "Cho Oyu"
"1958-04-28" "India" "Altitude sickness" "Cho Oyu"
"2022-04-12" "Greece" "Illness" "Dhaulagiri I"
"2018-09-27" "Nepal" "Avalanche" "Dhaulagiri I"
"2018-04-30" "Italy" "Storm" "Dhaulagiri I"
"2017-05-20" "Nepal" "Fall/Exposure" "Dhaulagiri I"
"2016-05-19" "India" "Altitude sickness" "Dhaulagiri I"
"2016-05-16" "Netherlands" "Disappeared" "Dhaulagiri I"
"2014-10-15" "Slovakia" "Avalanche" "Dhaulagiri I"
"2014-10-15" "Slovakia" "Avalanche" "Dhaulagiri I"
"2014-10-15" "Nepal" "Avalanche" "Dhaulagiri I"
"2014-10-15" "Nepal" "Avalanche" "Dhaulagiri I"
"2014-10-15" "Nepal" "Avalanche" "Dhaulagiri I"
"2013-05-26" "Spain" "Fall and exposure" "Dhaulagiri I"
"2013-05-23" "Japan" "Exhaustion" "Dhaulagiri I"
"2013-05-23" "Nepal" "Disappeared" "Dhaulagiri I"
"2010-09-28" "Japan" "Avalanche" "Dhaulagiri I"
"2010-09-28" "Japan" "Avalanche" "Dhaulagiri I"
"2010-09-28" "Nepal" "Avalanche" "Dhaulagiri I"
"2010-09-28" "Japan" "Avalanche" "Dhaulagiri I"
"2010-05-13" "China" "Fall" "Dhaulagiri I"
"2010-05-13" "China" "Cold/ Exhaustion" "Dhaulagiri I"
"2010-05-13" "China" "Fall" "Dhaulagiri I"
"2009-05-01" "Iran" "Fall" "Dhaulagiri I"
"2009-04-08" "Poland" "Fall into crevasse" "Dhaulagiri I"
"2008-05-05" "Spain" "Fall" "Dhaulagiri I"
"2008-05-05" "Argentina" "Disappeared" "Dhaulagiri I"
"2007-05-12" "Spain" "Avalanche" "Dhaulagiri I"
"2007-05-12" "Spain" "Avalanche" "Dhaulagiri I"
"2007-04-30" "Italy" "Fall" "Dhaulagiri I"
"2001-10-14" "Japan" "Disappeared" "Dhaulagiri I"
"2001-10-14" "Japan" "Disappeared" "Dhaulagiri I"
"2001-10-14" "Japan" "Disappeared" "Dhaulagiri I"
"2001-10-11" "Spain" "Fall" "Dhaulagiri I"
"2000-10-07" "Nepal" "Avalanche" "Dhaulagiri I"
"2000-09-29" "South Korea" "Avalanche" "Dhaulagiri I"
"1999-10-24" "United Kingdom" "Avalanche" "Dhaulagiri I"
"1999-10-24" "Nepal" "Avalanche" "Dhaulagiri I"
"1998-10-02" "Greece" "Fall" "Dhaulagiri I"
"1998-05-11" "France" "Avalanche" "Dhaulagiri I"
"1998-05-11" "Nepal" "Avalanche" "Dhaulagiri I"
"1998-05-01" "Greece" "Fall" "Dhaulagiri I"
"1995-10-06" "Japan" "Disappeared" "Dhaulagiri I"
"1995-05-15" "Germany" "Exposure" "Dhaulagiri I"
"1994-10-18" "Ukraine" "Fall" "Dhaulagiri I"
"1994-09-26" "Switzerland" "Fall" "Dhaulagiri I"
"1993-10-06" "New Zealand" "Altitude Sickness" "Dhaulagiri I"
"1992-05-11" "Romania" "Disappeared" "Dhaulagiri I"
"1992-05-11" "Romania" "Disappeared" "Dhaulagiri I"
"1992-05-02" "Germany" "Heart Failure" "Dhaulagiri I"
"1990-10-31" "Lithuania" "Disappeared" "Dhaulagiri I"
"1990-04-29" "Nepal" "Avalanche" "Dhaulagiri I"
"1989-12-25" "United States" "Avalanche" "Dhaulagiri I"
"1989-12-25" "United States" "Avalanche" "Dhaulagiri I"
"1989-12-25" "Nepal" "Avalanche" "Dhaulagiri I"
"1989-10-10" "Spain" "Disappeared" "Dhaulagiri I"
"1989-09-25" "Nepal" "Avalanche" "Dhaulagiri I"
"1989-09-25" "Nepal" "Avalanche" "Dhaulagiri I"
"1986-09-21" "Austria" "Edema" "Dhaulagiri I"
"1984-10-23" "Czechoslovakia" "Fall" "Dhaulagiri I"
"1981-05-23" "Argentina" "Cold/Exhaustion" "Dhaulagiri I"
"1980-10-07" "Australia" "Avalanche" "Dhaulagiri I"
"1979-05-14" "Nepal" "Disappeared" "Dhaulagiri I"
"1979-05-13" "France" "Avalanche" "Dhaulagiri I"
"1979-05-13" "France" "Avalanche" "Dhaulagiri I"
"1978-10-20" "Japan" "Fall/Exposure" "Dhaulagiri I"
"1978-09-23" "Japan" "Avalanche" "Dhaulagiri I"
"1978-09-23" "Japan" "Avalanche" "Dhaulagiri I"
"1978-09-23" "Japan" "Avalanche" "Dhaulagiri I"
"1978-04-21" "Japan" "Exhaustion" "Dhaulagiri I"
"1975-03-26" "Japan" "Avalanche" "Dhaulagiri I"
"1975-03-26" "Japan" "Avalanche" "Dhaulagiri I"
"1975-03-26" "Nepal" "Avalanche" "Dhaulagiri I"
"1975-03-26" "Nepal" "Avalanche" "Dhaulagiri I"
"1975-03-26" "Nepal" "Avalanche" "Dhaulagiri I"
"1969-04-28" "United States" "Avalanche" "Dhaulagiri I"
"1969-04-28" "United States" "Avalanche" "Dhaulagiri I"
"1969-04-28" "United States" "Avalanche" "Dhaulagiri I"
"1969-04-28" "United States" "Avalanche" "Dhaulagiri I"
"1969-04-28" "United States" "Avalanche" "Dhaulagiri I"
"1969-04-28" "Nepal" "Avalanche" "Dhaulagiri I"
"1969-04-28" "Nepal" "Avalanche" "Dhaulagiri I"
"1959-04-29" "Austria" "Cold/Exhaustion" "Dhaulagiri I"
"1956-05-26" "Nepal" "Avalanche" "Dhaulagiri I"
"1954-06-30" "Argentina" "Exposure" "Dhaulagiri I"
"2022-10-02" "Nepal" "Avalanche" "Manaslu"
"2022-09-26" "United States" "Fall" "Manaslu"
"2022-09-26" "Nepal" "Avalanche" "Manaslu"
"2021-09-29" "Canada" "Stroke" "Manaslu"
"2019-09-28" "Poland" "Altitude sickness" "Manaslu"
"2018-09-29" "Czech Republic" "Probably fall" "Manaslu"
"2018-09-08" "Japan" "Rescue helicopter crash" "Manaslu"
"2017-09-25" "United Kingdom" "Altitude Sickness" "Manaslu"
"2016-10-26" "Japan" "Fall" "Manaslu"
"2015-10-01" "Austria" "Probably altitude sickness" "Manaslu"
"2014-09-26" "Japan" "Fall" "Manaslu"
"2012-10-04" "Colombia" "Unknown (disappeared)" "Manaslu"
"2012-09-23" "Canada" "Avalanche" "Manaslu"
"2012-09-23" "France" "Avalanche" "Manaslu"
"2012-09-23" "Italy" "Avalanche" "Manaslu"
"2012-09-23" "France" "Avalanche" "Manaslu"
"2012-09-23" "Germany" "Avalanche" "Manaslu"
"2012-09-23" "Nepal" "Avalanche" "Manaslu"
"2012-09-23" "France" "Avalanche" "Manaslu"
"2012-09-23" "France" "Avalanche" "Manaslu"
"2012-09-23" "Spain" "Avalanche" "Manaslu"
"2012-09-23" "France" "Avalanche" "Manaslu"
"2012-09-23" "France" "Avalanche" "Manaslu"
"2012-05-11" "Iran" "Unknown (disappeared)" "Manaslu"
"2011-05-12" "Nepal" "Unknown (disappeared)" "Manaslu"
"2011-05-12" "France" "Unknown (disappeared)" "Manaslu"
"2011-05-12" "France" "Unknown (disappeared)" "Manaslu"
"2011-04-29" "Iran" "Altitude sickness" "Manaslu"
"2010-09-24" "Japan" "Illness" "Manaslu"
"2010-04-24" "South Korea" "Unknown (disappeared)" "Manaslu"
"2010-04-24" "South Korea" "Exhaustion" "Manaslu"
"2009-10-03" "Slovenia" "Hit by falling seracs  died in hospital"
"2009-05-19" "Hungary" "Fall" "Manaslu"
"2009-04-28" "Italy" "Illness" "Manaslu"
"2008-10-05" "France" "Altitude sickness" "Manaslu"
"2008-05-13" "Nepal" "Illness" "Manaslu"
"2006-05-28" "Australia" "Fall in crevasse" "Manaslu"
"2001-10-13" "Nepal" "Altitude sickness  Exhaustion"
"1998-10-30" "Bulgaria" "Fall" "Manaslu"
"1998-10-26" "Colombia" "Avalanche" "Manaslu"
"1997-10-09" "Slovakia" "Collapsed" "Manaslu"
"1997-10-08" "Slovakia" "Unknown (disappeared)" "Manaslu"
"1996-10-01" "Japan" "Unknown (disappeared)" "Manaslu"
"1995-05-07" "Germany" "Fall" "Manaslu"
"1995-05-06" "Germany" "Fall" "Manaslu"
"1993-10-22" "Russia" "Avalanche" "Manaslu"
"1993-10-21" "Russia" "Fall" "Manaslu"
"1992-10-03" "Belgium" "Fall" "Manaslu"
"1992-10-02" "Poland" "Fall" "Manaslu"
"1991-05-10" "Italy" "Fall" "Manaslu"
"1991-05-10" "Italy" "Lightning" "Manaslu"
"1990-09-07" "Soviet Union" "Fall" "Manaslu"
"1990-09-07" "Soviet Union" "Fall" "Manaslu"
"1990-09-07" "Soviet Union" "Fall" "Manaslu"
"1990-03-27" "Nepal" "Avalanche" "Manaslu"
"1990-03-27" "United States" "Avalanche" "Manaslu"
"1990-03-27" "United States" "Avalanche" "Manaslu"
"1989-05-07" "Spain" "Fall" "Manaslu"
"1987-10-28" "Japan" "Fall" "Manaslu"
"1986-05-04" "Austria" "Fall" "Manaslu"
"1986-05-03" "West Germany" "Unknown (disappeared)" "Manaslu"
"1985-10-25" "Nepal" "Avalanche" "Manaslu"
"1985-05-04" "Austria" "Avalanche" "Manaslu"
"1983-12-11" "Poland" "Fall" "Manaslu"
"1983-04-24" "Yugoslavia" "Avalanche" "Manaslu"
"1983-04-24" "Yugoslavia" "Avalanche" "Manaslu"
"1982-12-18" "Japan" "Cold  Exhaustion"
"1982-05-10" "Spain" "Avalanche" "Manaslu"
"1982-05-10" "Spain" "Avalanche" "Manaslu"
"1979-10-08" "Argentina" "Avalanche" "Manaslu"
"1974-05-05" "Japan" "Unknown (disappeared)" "Manaslu"
"1972-04-26" "Austria" "Unknown (disappeared)" "Manaslu"
"1972-04-25" "Austria" "Unknown (disappeared)" "Manaslu"
"1972-04-10" "Nepal" "Avalanche" "Manaslu"
"1972-04-10" "Nepal" "Avalanche" "Manaslu"
"1972-04-10" "Nepal" "Avalanche" "Manaslu"
"1972-04-10" "Nepal" "Avalanche" "Manaslu"
"1972-04-10" "Nepal" "Avalanche" "Manaslu"
"1972-04-10" "Nepal" "Avalanche" "Manaslu"
"1972-04-10" "Nepal" "Avalanche" "Manaslu"
"1972-04-10" "Nepal" "Avalanche" "Manaslu"
"1972-04-10" "Nepal" "Avalanche" "Manaslu"
"1972-04-10" "Nepal" "Avalanche" "Manaslu"
"1972-04-10" "Japan" "Avalanche" "Manaslu"
"1972-04-10" "South Korea" "Avalanche" "Manaslu"
"1972-04-10" "South Korea" "Avalanche" "Manaslu"
"1972-04-10" "South Korea" "Avalanche" "Manaslu"
"1972-04-10" "South Korea" "Avalanche" "Manaslu"
"1971-05-04" "South Korea" "Fall" "Manaslu"
"2023-07-03" "Poland" "Altitude sickness" "Nanga Parbat"
"2019-02-24" "Italy" "Unknown" "Nanga Parbat"
